Title,Release Date,Team,Rating,Summary,Genre 1,Genre 2,Times Listed Clean,Number of Reviews Clean,Plays Clean,Backlogs Clean,Wishlist Clean
Paper Mario: The Origami King,2020-07-17,"Nintendo, Intelligent Systems",3.5,"Join Mario and his new companion Olivia on a comedic adventure that will take you to the far corners of a papercraft world in Paper Mario: The Origami King on Nintendo Switch!
             

              Face off against the Origami King and his army of paper invaders, team up with some extraordinary companions and master magical powers on your quest to save the world.
             

              Unwrap an epic quest!
             

              Travel the land, repair the damage done by the Folded Soldiers and rescue Toads trapped in all manner of wacky scrapes!
             

              With the help of Olivia’s paper-folding powers, use the far-reaching 1,000 Fold Arms and other paper transformations to save those imprisoned by the Origami King’s henchmen, and help restore peace to the world.
             

              Put a stop to King Olly's plans by engaging in battles which will put both your tactical thinking and puzzle solving skills to the test – against his origami army, as well as humongous bosses under his command!",Adventure, RPG,525,525,2400,1200,714
Conker's Bad Fur Day,2001-03-05,"Rare, THQ",3.6,"Humorous action-platformer that does away with the tedious item collection found in most games in the genre. Instead, BFD employs a combination of standard jump, run and explore mechanics and context-sensitive gags and actions. For instance, in the beginning of the game, by pressing the B button on the first pad he encounters, Conker drinks some Alka-Seltzer to wipe out his hangover, at which point players can proceed forward. Later on these pads are used to activate a slingshot and throwing knives; to turn Conker into an anvil and drop downward; to shoot automatic, double-handed guns; to activate a The Matrix-inspired slow-motion effect and flip through the air shooting enemies; and much, much more.",Adventure, Platform,426,426,2700,907,503
Fire Emblem: Radiant Dawn,2007-02-22,"Nintendo, Nintendo SPD Group No. 2",4.0,"Radiant Dawn is a turn-based tactics RPG and a direct sequel, 3 years have passed, to the game ""Fire Emblem: Path of Radiance"" for the Nintendo GameCube. It features new magic, class upgrades, weapons, and a reworked forging system.
             

              The game uses a somewhat upgraded version of the previous engine so the games look similar. You can carry over some data from the previous games save file but only a normal or hard mode file will work because a bug will cause the Wii to freeze if an easy mode save file is on the GameCube memory card.",RPG, Strategy,459,459,1800,1100,497
Need for Speed: Heat,2019-11-08,"Electronic Arts, Ghost Games",3.1,"Hustle by day and risk it all at night in Need for Speed Heat, a white-knuckle street racer, where the lines of the law fade as the sun starts to set. By day, Palm City hosts the Speedhunter Showdown, a sanctioned competition where you earn Bank to customize and upgrade your high-performance cars. At night, ramp up the intensity in illicit street races that build your reputation, getting you access to bigger races and better parts. But stay ready – cops are waiting and not all of them play fair",Adventure, Racing,180,180,1600,455,94
Skate 3,2010-05-11,"EA Black Box, Electronic Arts",4.0,"Skate 3 features an all-new co-op mode where teammates can complete challenges together while advancing each other’s careers. From rewarding epic bails and fails with a beefed up Hall of Meat mode to honing your craft with the all-new skate.School, players of all skill levels have multiple ways to “kill it” in the game. The franchise also continues to raise the bar for user created content with the skate.Create feature suite, an innovative toolset that empowers gamers to truly express their skate style by creating their own graphics, videos, and skate parks.",Sport,,318,318,4100,313,188
Braid,2008-08-06,"Number None Inc., Microsoft Game Studios",3.4,"Braid is a puzzle-platformer, drawn in a painterly style, where you can manipulate the flow of time in strange and unusual ways. From a house in the city, journey to a series of worlds and solve puzzles to rescue an abducted princess. In each world, you have a different power to affect the way time behaves, and it is time's strangeness that creates the puzzles. The time behaviors include: the ability to rewind, objects that are immune to being rewound, time that is tied to space, parallel realities, time dilation, and perhaps more.
             

              Braid treats your time and attention as precious; there is no filler in this game. Every puzzle shows you something new and interesting about the game world.",Adventure, Indie,380,380,3500,782,385
Metro 2033,2010-03-16,"4A Games, THQ",3.5,"Metro 2033 is a first-person shooter with survival horror elements, based on the Russian book of the same name by Dmitry Glukhovsky. Most of the game takes place underground, but several times Artyom will have to venture outside, into the perpetual nuclear winter. Game progression is fairly linear, though areas may be explored more thoroughly for items and ammunition. Setpieces include a few on-rails sequences, missions that involve defending a location from an onslaught of monsters, and others. A few stages can be completed in a stealthy fashion.",RPG, Shooter,328,328,3700,1100,224
Another Pokémon Game,2023-02-15,3D: Doom Daddy Digital,3.0,Another Pokémon Game is another Pokémon game.,Adventure, RPG,19,19,59,24,22
Super Mario Party,2018-10-05,Nintendo,2.8,"Turn the tables on opponents as you race across the board to collect the most stars in the original four-player Mario Party series board game mode. Discover 80 mini-games packed with wildly different challenges, play with others online and enjoy this full-on frenzy with family and friends!",Card & Board Game, Platform,336,336,5300,241,185
Kentucky Route Zero,2013-01-07,Cardboard Computer,4.1,"Kentucky Route Zero is a magical realist adventure game about a secret highway in the caves beneath Kentucky, and the mysterious folks who travel it. Gameplay is inspired by point-and-click adventure games (like the classic Monkey Island or King's Quest series, or more recently Telltale's Walking Dead series), but focused on characterization, atmosphere and storytelling rather than clever puzzles or challenges of skill.
             

              The game is developed by Cardboard Computer (Jake Elliott and Tamas Kemenczy). The game's soundtrack features an original electronic score by Ben Babbitt along with a suite of old hymns & bluegrass standards recorded by The Bedquilt Ramblers.",Adventure, Indie,474,474,1200,1200,842
The Legend of Zelda: Twilight Princess HD,2016-03-04,"Nintendo, Nintendo EPD",4.2,"The Legend of Zelda: Twilight Princess HD is a Wii U enhanced remaster of the original game. It features graphical upgrades from the original version, higher resolution and minor gameplay changes.",Adventure, Platform,447,447,2500,956,503
We Love Katamari,2005-07-06,"NOW Production, Namco",4.3,"We Love Katamari, is a third-person puzzle-action video game where the player controls the Prince, the 5-centimeter-tall son of the god-like entity the King of All Cosmos, who rolls around a ""katamari"", a magical ball that causes objects smaller than it to attach to it. Throughout each level, the play must collect objects in order to fulfill objectives set by the prince's father.",Adventure, Puzzle,429,429,1400,520,410
Serial Experiments Lain,1998-11-26,Pionner LDC,4.0,An adventure game where you follow the cybernetic journeys of a girl named Lain.,Adventure,,173,173,397,637,727
Kirby's Dream Land 2,1995-03-21,"Nintendo, HAL Laboratory",3.2,"Kirby returns and has joined forces with new friends in this thrilling sequel!
             

              The Rainbow Bridges that connect the seven Rainbow Islands have disappeared! Help Kirby solve the mystery! Search through the different islands while battling King DeDeDe and his horde of evil minions.
             

              Along the way, meet Rick the Hamster, Kine the Fish, and Coo the Owl. Each possesses important abilities that can multiply the magnitude of Kirby's powers! Earn the mysterious Rainbow Sword, and prepare to face Kirby's most menacing rival ever--the evil Dark Matter!",Platform,,414,414,2300,480,146
Harvestella,2022-11-04,Square Enix,3.4,"Introducing a brand-new fantasy x life simulation RPG from Square Enix! Through the changing seasons, explore an imaginative world, tend your crops, make new friends, face enemies in dynamic combat, and unravel the mystery of the season of death, Quietus.",Adventure, RPG,103,103,160,268,469
Dishonored: Death of the Outsider,2017-09-14,"Arkane Studios, Bethesda Softworks",3.6,"Dishonored: Death of the Outsider is a standalone expansion pack and a sequel to Dishonored 2. The game features all the series hallmarks, including brutal combat systems, unique level design and immersive storytelling that responds to your every choice. With compelling characters and exhilarating action, Death of the Outsider is the perfect entry point for those new to the Dishonored series, while delivering a significant expansion of the gameplay and world for longtime fans.",Adventure, RPG,328,328,1800,1400,352
Life is Strange 2,2018-09-26,"""DONT NOD"", Square Enix",3.3,The long awaited sequel to the award winning Life is Strange returns with a new 5-part narrative adventure from DONTNOD Entertainment.,Adventure,,421,421,2600,939,643
Banjo-Tooie,2000-11-20,"Microsoft Game Studios, Rare",3.8,"Colossal, immense, and gigantic; beautiful, gorgeous, and grandiose -- these are the words one thinks of when describing Rare's follow-up adventure to Banjo-Kazooie. Keeping consistent with the attitude found in this title, Rare has wittily named it Banjo-Tooie. Banjo-Tooie, simply put, is incredibly unimaginable. The worlds are ludicrous in size, the gameplay is polished and deep, and the soundtrack proves to be an immaculate compliment. When it comes to defining platform-based entertainment, Banjo-Tooie is filled with chapter after chapter of standards. Explore eight giant worlds, solve puzzles and help game characters to unearth jiggys, play as Mumbo, a T-Rex, Submarine, Money-Van, Washing Machine, and more, and learn more than 40 new moves on the way.",Adventure, Platform,443,443,3000,1200,485
The Legend of Zelda: Oracle of Ages,2001-02-27,"Nintendo, Capcom",3.7,"The Legend of Zelda: Oracle of Ages is one of two Zelda titles released for the Game Boy Color, the other being Oracle of Seasons. The game retain many gameplay elements from Link's Awakening such as the graphics, audio and top-view perspective. It also features eight dungeons and a large overworld to explore like in the previous games. Oracle of Ages is said to be more puzzle-oriented than its counterpart being more action-oriented. After completing one of the two games, both can be linked to form a single linear plot with an alternate ending. Oracle of Ages and Oracle of Seasons were often credited as being two of the top games for the Game Boy Color.",Adventure, RPG,512,512,2800,1500,492
Lobotomy Corporation,2018-04-09,Project Moon,4.1,"Monster Management Rogue-Lite Simulation game inspired by the monsters from game and movies such as SCP Foundation, Cabin in the woods and Warehouse 13. One disaster will cause another, and it will lead everything into chaos. Manage and Survive.",Indie, Simulator,134,134,621,536,327
Saints Row 2,2008-10-14,"Volition, THQ",3.7,"After the events of the first game, the protagonist awakens from a coma to find that the Third Street Saints have all but disappeared. Much like Saints Row, you are charged with retaking the city from three rival gangs, only this time as the leader of the saints. While fighting the Sons of Samedi, The Brotherhood, and The Ronin, the Saints also antagonize the Ultor Corporation, which seeks to eradicate gang violence in Stilwater once and for all.",Adventure, Racing,412,412,3600,803,191
Final Fantasy VII Rebirth,2023-12-31,Square Enix,,This next standalone chapter in the FINAL FANTASY VII remake trilogy,,,192,192,20,354,1100
Castlevania: Bloodlines,1994-03-17,Konami,3.7,"Time refuses to forget the Belmont family's horrifying, bloody destiny. And in 1917 two of its descendants are summoned by fate into epic battle. Their enemy? The most evil incarnation of Castlevania legacy to ever rise from the grave, the vampiress Countess Bartley. This spine-tingling, 6-stage fear-fest overflows with graphic sights and sounds from your worst nightmares. As John Morris, the whip wielding vampire hunter, or Eric Lecarde, master lanceman, you'll pursue the demonic Countess all across Europe before she resurrects Dracula for a final reign of global terror. Alas, her trail of doom is laden with zombies, hideous mutants, grotesque giants, ghouls and ghastly creatures. Taste the sweat dripping into your mouth as you try rescuing yourself from diabolical traps. Feel the torturous strain on every muscle as you wield again and again sacred weapon power-ups such as Holy Water, the Battle Axe, the Crystal Blade Boomerang and the Mirror of Truth. But in the end, make sure you've saved enough strength to scream!",Adventure, Platform,447,447,1800,682,230
Tiny Tina's Wonderlands,2022-03-25,"2K Games, Gearbox Software",3.4,"Embark on an epic adventure full of whimsy, wonder, and high-powered weaponry! Bullets, magic, and broadswords collide across this chaotic fantasy world brought to life by the unpredictable Tiny Tina.",Adventure, RPG,224,224,738,467,537
Utawarerumono: Mask of Truth,2016-09-21,"Aquaplus, Atlus USA",4.4,"""The epic story of Utawarerumono comes to an end in Mask of Truth, as the fate of the world will be determined by warring nations. The game features exciting SRPG battles, a colorful cast of new/familiar faces that will determine the fate of their world, a rousing original soundtrack, and the dramatic conclusion to the journey of Haku.
             

              After the events of Mask of Deception, Haku is destined to rally the nation of Ennakamuy to fight against the evil forces that now control the Yamato throne. With everything on the line, Haku and his friends must do everything in their power to ensure that the future of Yamato triumphs over the true evil that lurks in the depth of the darkness.""",Adventure, RPG,182,182,442,411,266
Hitman World of Assassination,2023-01-26,"Inlusio Interactive, IO Interactive",4.6,"Become Agent 47 in the ultimate spy-thriller adventure across more than 20 locations.
             

              Hitman World of Assassination brings together the best of Hitman, Hitman 2 and Hitman 3 including the main campaign, contracts mode, escalations, elusive target arcades and Hitman: Freelancer.",Adventure, Shooter,38,38,167,54,54
Just Cause 2,2010-03-23,"Avalanche Studios, Eidos Interactive",3.2,"In a lawless open-world paradise, use whatever means necessary to achieve your objective. Use land, sea and air to your advantage and use a wide range of weaponry to cause as much chaos as possible.",Adventure, Racing,302,302,5100,771,142
Lies of P,2023-08-01,"NEOWIZ, Round8 Studio",,"Inspired by the familiar story of Pinocchio, Lies of P is an action souls-like game set in a dark Belle Époque world. Guide Pinocchio on his unrelenting journey to become human.",RPG,,175,175,5,260,939
Final Fantasy V,1992-12-06,Square Enix,3.8,"Final Fantasy V is a fantasy role-playing video game developed and published by Square in 1992 as a part of the Final Fantasy series. The game first appeared only in Japan on Nintendo's Super Famicom (known internationally as the Super Nintendo Entertainment System).
             

              It has been ported with minor differences to Sony's PlayStation and Nintendo's Game Boy Advance. An original video animation produced in 1994 called FINAL FANTASY: Legend of the Crystals serves as a sequel to the events depicted in the game. It was released for the PlayStation Network on April 6, 2011, in Japan. An enhanced port of the game, with new high-resolution graphics and a touch-based interface, was released for iPhone and iPad on March 28, 2013, and for Android on September 25, 2013.
             

              FINAL FANTASY V has been praised for the freedom of customization that the player has over the characters, achieved through the greatly expanded Job System. Despite being released only in Japan, the Super Famicom version sold more than two million copies. The PlayStation version has earned ""Greatest Hits"" status, selling more than 350,000 copies.",Adventure, RPG,532,532,2300,1200,460
Jet Set Radio Future,2002-02-22,"Smilebit, Sega",4.3,"Jet Set Radio Future is a video game developed by Smilebit and is the sequel to Jet Set Radio. Similar to the original, it depicts a future Tokyo where freedom of expression is outlawed. The user plays a character in the GG's, a gang of in-line skating graffiti artists who skate around Tokyo covering up rival gangs' graffiti, knocking over Rokkaku police, and dancing to the electric soundtrack. The game uses a cel-shaded style of animation, and has been widely acclaimed for its unique music style, detailed art, and gameplay. Though the game is set in the future, its style and content incorporates many aspects of 1980's old school hip hop culture, as well as 1990's J-pop culture.",Music, Platform,448,448,1400,784,645
Overcooked!,2016-08-03,"Ghost Town Games, Team17",3.5,"Overcooked! is a co-op cooking game for 1-4 players. Working as a team, you and your fellow chefs must prepare, cook and serve up a variety of tasty orders before the baying customers storm out.
              

              Take part in an epic journey across the Onion Kingdom and tackle an increasingly challenging and bizarre gauntlet of kitchens which will push your skills of co-operation and co-ordination to the very limits.",Arcade, Indie,376,376,4600,723,115
Shin Megami Tensei IV: Apocalypse,2016-02-10,"Atlus USA, Atlus",3.6,"Shin Megami Tensei IV: Apocalypse is a post-apocalyptic role-playing video game developed and published by Atlus for the Nintendo 3DS. It is set in the same universe as Shin Megami Tensei IV and forms part of the Shin Megami Tensei series, the central series of the Megami Tensei franchise.",Adventure, RPG,442,442,1800,1500,634
Muse Dash,2018-06-15,"X.D. Network Inc., PeroPeroGames",3.5,"Play as characteristic heroines, dash through fairy tale like stages, dancing to the rhythm and beats, kick those silly cute enemies into outer space!",Indie, Music,185,185,2700,396,193
Fire Emblem: Genealogy of the Holy War,1996-05-14,"Intelligent Systems Co., Ltd., Nintendo",4.0,"Fire Emblem: Genealogy of the Holy War is a Japanese Super Famicom tactical role-playing game developed by Intelligent Systems and published by Nintendo. It was released on May 14, 1996 in Japan. It is the fourth title in the Fire Emblem series, the second Fire Emblem title for the Super Famicom, and the last game produced by the late Gunpei Yokoi. It was released on the Japanese Virtual Console service on January 30, 2007. The game was originally to be titled as Fire Emblem: Light Inheritors.",RPG, Strategy,468,468,1300,836,385
Judas,2025-03-31,Ghost Story Games,,A disintegrating starship. A desperate escape plan. You are the mysterious and troubled Judas. Your only hope for survival is to make or break alliances with your worst enemies. Will you work together to fix what you broke – or will you leave it to burn?,Adventure, Shooter,90,90,1,92,437
Half-Life: Opposing Force,1999-11-10,"Gearbox Software, Sierra Entertainment",3.7,"Opposing Force returns to the same setting as Half-Life, but instead portrays the events from the perspective of a U.S. Marine, one of the enemy characters in the original game. The player character, Adrian Shephard, is sent in to neutralize the Black Mesa Research Facility after a scientific mishap causes it to be invaded by aliens, but quickly finds that the Marines are outnumbered and slowly being beaten back by a second alien race and black operations units.",Platform, Puzzle,298,298,3000,838,95
Bloodborne PSX,2022-01-31,LW Media,3.5,A Fan demake (PS1 era) of From Software's PS4 exclusive: Bloodborne,Adventure, RPG,106,106,577,434,299
Prototype,2009-06-09,"Activision, Radical Entertainment",3.0,"Prototype is the first of two games, and let's the user take control of Alex Mercer as he fights to stop the viral outbreak known as BLACKLIGHT throughout Manhattan. Alex is himself infected by the virus, which has given him special, mutant, abilities that will evolve with time and aid him in stopping the virus.",Adventure, Brawler,225,225,4500,643,314
Pokémon Gold,1999-11-21,"Nintendo, Game Freak",3.8,"Pokémon Gold, along with Pokémon Silver, are the sequels to Pokémon Red and Blue. They offer 100 new Pokémon to capture and train, 8 more Gyms to take on and a new Pokémon League challenge. Featuring an expanded post-game, Pokémon Gold and Silver additionally offer extra content from the previous entries in the series.",Adventure, RPG,495,495,5500,326,133
Valheim,2021-02-02,"Iron Gate AB, Coffee Stain Publishing",3.6,"Valheim is a brutal exploration and survival game for 1-10 players set in a procedurally-generated world inspired by Norse mythology. Craft powerful weapons, construct longhouses, and slay mighty foes to prove yourself to Odin!",Adventure, Indie,210,210,2500,496,276
Your Turn To Die: Death Game By Majority,2017-08-28,"Nankidai, 0UP Games",4.1,Your Turn To Die: Death Game By Majority is a multi-ending horror adventure game. Your decision will directly affect the story and final outcome!,Adventure, Indie,221,221,1300,630,548
Gal Guardians: Demon Purge,2023-02-23,Inti Creates,3.4,"When a demon's castle darkens the land, two sisters challenge its halls. Together they can break the curse.
             

              Players take control of the two sisters with different attacks and capabilities to challenge the demon castle and the bosses waiting within. Discover new routes through the castle using the sisters' unique abilities!
             

              The stars of Grim Guardians are the long-distance focused ""Shinobu Kamizono"" and the close-range brawler ""Maya Kamizono."" Players will need to consider the situation when choosing which sister to control as they make their way through the castle, investigating the mystery of what happened to their school and its students.
             

              Other features include 2-player co-op with special actions, extensive difficulty options with the ""Style System,"" unique changes on repeat plays, and most importantly the quality and challenge players have come to expect from Inti Creates titles, this time with a new gothic horror aesthetic.",Adventure, Platform,39,39,69,61,150
Mortal Shell,2020-08-18,"Playstack, Cold Symmetry",2.7,"Mortal Shell is a ruthless and deep action-RPG that tests your sanity and resilience in a shattered world. Your adversaries spare no mercy, with survival demanding superior awareness, precision and instincts. Possess lost warriors, track down hidden sanctums of the devout, and face formidable foes.
              

              ""Awakening as an empty vessel, you will enter into a shattered and twisted world where the remains of humanity wither and rot. Implored to do the bidding of the mysterious “Dark Father”, you must traverse this tattered landscape and track down hidden sanctums of devout followers. There, in Mortal Shell’s most hallowed grounds, you must overcome formidable foes and harvest the sacred glands. You won’t be truly alone when the dead litter your path: Scattered across this land are the remnant anima of lost warriors who can be inhabited to gain their unique abilities and knowledge of weapons. The Dark Father is desperate for you to complete your task — but to what end?
              

              Discover “Shells” to Suit Your Playstyle - The lost remains of defeated warriors are yours to unearth. Awaken these Mortal Shells, occupy their bodies and significantly widen your understanding of different forms of combat. Inhabit a Shell that best fits your style and utilizes their own unique mastery of skills and weapon
              
              upgrades.
              

              Iron Sharpens Iron - Combat is strategic and deliberate. Survival demands superior awareness, precision and instincts. You must commit your sword only when an opportunity opens. Calculate your parries to unleash devastating counterblows.
              

              Non-linear Campaign - Draw your own path across marsh-infested lowlands, through a gargantuan cathedral of obsidian rock, and into an ancient crypt frozen into the crest of a mountain.
              

              Deep Upgrade Paths - The stronger your connection to each Mortal Shell grows, the better you can harness their innate talents. Craft unique upgrades, sharpen your blade with acid, and study dark arcane abilities that imbue your attacks with supernatural devastation.
              

              Face Haunting Foes - Your path is guarded by desperate adversaries, devoted to inscrutable gods. Behold creatures both pitiable and grotesque, but do not let fear halt your journey. Muster your courage and face them down.
              

              Developed by AAA Veterans - Mortal Shell has been developed by a coalition of seasoned veterans with an unbridled passion for the soulslike genre.""",Indie, RPG,192,192,847,678,194
Kingdom Come: Deliverance,2018-02-13,"Deep Silver, Warhorse Studios",3.6,"Story-driven open-world RPG that immerses you in an epic adventure in the Holy Roman Empire. Avenge your parents' death as you battle invading forces, go on game-changing quests, and make influential choices. Explore castles, forests, villages and other realistic settings in medieval Bohemia!",Adventure, RPG,238,238,1800,1400,335
Sleeping Dogs: Definitive Edition,2014-10-10,"Square Enix, United Front Games",3.8,"The Definitive Edition of the critically acclaimed, award winning open-world action adventure, reworked, rebuilt and re-mastered for the new generation. With all previously available DLC included and a wealth of tech and visual improvements, Hong Kong has never felt so alive.
             

              A vibrant, neon city teaming with life, Hong Kong’s exotic locations and busy streets and markets hide one of the most powerful and dangerous criminal organizations in the world: the notorious Triads. Play as Wei Shen – the highly skilled undercover cop trying to take down the Triads from the inside out. You'll have to prove yourself worthy as you fight your way up the organization, taking part in brutal criminal activities without blowing your cover.
             

              Destroy your opponents in brutal hand-to-hand combat using an unmatched martial arts system. Dominate Hong Kong’s buzzing streets in thrilling illegal street races and tear it up in explosive firearms action. Sleeping Dogs’ Hong Kong is the ultimate playground.",Adventure, Brawler,250,250,2600,967,213
Resident Evil 4: Ultimate HD Edition,2014-02-28,"Capcom Production Studio 4, Capcom",4.4,"Resident Evil 4: Ultimate HD Edition is the second port of Resident Evil 4 to Windows, this time based on the Xbox 360 and PlayStation 3 versions with updated graphics. In contrast to the original port, this version features lighting effects, real-time instead of rendered cutscenes (except in the Separate Ways campaign), mouse support and Steamworks integration.
             

              This version features all previously seen additional content, including the achievements from the latest HD Console versions. The game can be played with SD and HD quality textures, a filter option and an FPS lock option was also added allowing the user to select from 30 or 60 FPS options.",Adventure, Shooter,148,148,889,151,35
LEGO Builder's Journey,2019-12-20,"Light Brick Studio, The LEGO Group",3.2,"A story about play, connections and adventure.
             

              Step through levels brick by brick with puzzles that ask us to sometimes follow the instructions… and sometimes to be creative and break the rules.
             

              Builder’s Journey is a poetic puzzle that takes place in a LEGO brick world, brought to life with the most accurately rendered LEGO elements yet to feature on screens. Be taken through a breathtaking world filled with brick-by-brick effects, accompanied by a beautiful soundtrack.
             

              Throughout the narrative, there will be ups and downs, challenges and celebrations. Take the time to experiment, and most importantly, to play as figuring out who we are and what we become is the Builder’s Journey.",Adventure, Indie,138,138,484,317,114
Guilty Gear Xrd: Rev 2,2017-03-30,"Arc System Works, Aksys Games",4.1,Guilty Gear Xrd Rev 2 is a standalone expansion of Guilty Gear Xrd Revelator and is also available as DLC for that game.,Fighting,,379,379,3000,314,175
Super Kiwi 64,2022-12-02,Siactro,3.4,"Super Kiwi 64 is a 3D-Platformer and Collect-a-Thon, in a low poly late 90s console look.",Adventure, Arcade,79,79,239,70,75
Infamous 2,2011-06-07,"Sucker Punch Productions, Sony Computer Entertainment, Inc. (SCEI)",3.7,"Blamed for the destruction of Empire City and haunted by the ghosts of his past, reluctant hero Cole MacGrath makes a dramatic journey to the historic Southern city of New Marais in an effort to discover his full super-powered potential -- and face a civilization-ending confrontation with a dark and terrifying enemy from his own future. Gifted with extraordinary god-like abilities, Cole alone has the power to save humanity, but the question is-- will he choose to do so?",Adventure, Brawler,409,409,4400,674,343
Fallout 3: Game of the Year Edition,2009-10-13,"Bethesda Game Studios, Bethesda Softworks",3.6,"Prepare for the Future with Fallout 3: Game of the Year Edition, experience the most acclaimed game of 2008 like never before. Create a character of your choosing and descend into an awe-inspiring, post-apocalyptic world where every minute is a fight for survival.",Adventure, RPG,188,188,2600,694,123
Melatonin,2022-12-15,Half Asleep,3.7,"Melatonin is a rhythm game about dreams and reality merging together. It uses animations and sound cues to keep you on beat without any intimidating overlays or interfaces. Harmonize through a variety of dreamy levels containing surprising challenges, hand-drawn art, and vibrant music.",Arcade, Indie,104,104,185,96,235
Gungrave G.O.R.E,2022-11-22,"Iggymob, Red Entertainment",2.1,"Gungrave G.O.R.E. is being developed for Playstation 4 and is planned to have a much larger scale than previous games. It is the second game in the Gungrave reboot and will cover new story content for the game series.
              
              The game is set to take place after Gungrave VR which is a remake of the PS2 Gungrave game that also covers the story of Gungrave Overdose to some extent.",Adventure, Fighting,85,85,186,138,149
Like a Dragon Gaiden: The Man Who Erased His Name,2023-12-31,"Ryū Ga Gotoku Studios, Sega",,This game covers Kiryu's story between Yakuza 7 and Like a Dragon 8.,Adventure, Brawler,118,118,2,145,588
Garten of Banban,2023-01-06,Euphoric Brothers,1.2,"Enter Banban's Kindergarten, and you're sure to make some friends. Explore the mysterious establishment and don't lose your life and sanity. Uncover the horrifying truth behind the place, but be careful, as you are far from alone…",Adventure, Indie,26,26,130,5,4
Hitman: Blood Money,2006-05-26,"IO Interactive, Eidos Interactive",4.0,"Hitman Blood Money is the fourth installment of the critically acclaimed Hitman series. If Agent 47 must stay hidden, make clean ‘hits’ and leave the scene unnoticed, he will be rewarded. But if he is revealed during a violent act, his picture will end up in the papers and on wanted posters, making the job as a contract killer more difficult.
             

              This time, Agent 47 is paid in cold, hard cash. How the money is spent will affect his passage through the game and the weapons at his disposal, resulting in a unique game-play experience for each player.",Shooter,,414,414,3200,859,238
Professor Layton and the Unwound Future,2008-11-27,"Level-5, Nintendo of America",4.3,"As with previous Professor Layton games, Unwound Future is an adventure game where the player solves puzzles offered by local citizens to progress the story forward, through dialogue and around 32 minutes of full motion video. The player moves about the game through still images of locations. The player can use the DS touchscreen to tap on non-player characters to start a dialog or to obtain a puzzle, and also can search anywhere on the background for hint coins, with some areas needing to be tapped several times to reveal a secret hint coin or puzzle. Puzzles are brainteasers of many varieties, including visual, math, and logic. There is no time limit to solve puzzles, and the player can get up to 3 hints at a cost of one hint coin each; a new feature in Unwound Future is a ""super hint"", costing 2 coins, that can only be bought after the other 3 hints have been revealed, but that nearly reveals the puzzle's solution. If the player is correct in solving the puzzle, they gain a number of ""Picarats"", a form of currency within the game. Guessing the incorrect answer will reduce the number of picarats the player can get on subsequent attempts. Players can visit certain areas in order to play undiscovered or unsolved puzzles that are left behind as the story progresses.",Point-and-Click, Puzzle,378,378,2400,664,388
The Dark Pictures Anthology: The Devil in Me,2022-11-18,"Supermassive Games, Bandai Namco Entertainment",2.9,"Step into the anthology's most bloodcurdling story yet, where each of your choices once again determines who lives and who dies. Watch in horror as your unfortunate crew falls prey to a twisted host who is observing their every move.
             

              We hope you enjoy your stay...",Adventure,,123,123,332,135,276
Donkey Kong Country: Tropical Freeze,2018-05-04,"Nintendo, Retro Studios",4.2,"Donkey Kong, Diddy Kong, Dixie Kong and Cranky Kong return for the franchise’s debut on Nintendo Switch. This title includes all the fun and challenge of the original game, plus a new beginner-friendly mode that lets players enjoy this critically acclaimed adventure as groovy surfing simian Funky Kong. Funky Kong can double jump, hover, perform infinite rolls and even perform infinite underwater corkscrews. Thanks to his sturdy surfboard, even spikes can’t slow him down. The game launches for Nintendo Switch on May 4.",Platform,,373,373,2100,741,500
Fire Emblem: Thracia 776,1999-09-01,"Intelligent Systems Co., Ltd., Nintendo",4.1,"Fire Emblem: Thracia 776 is a Japanese tactical role-playing game developed by Intelligent Systems and published by Nintendo, and the fifth installment in the Fire Emblem series. It is also the third and final Fire Emblem series title to be released on the Super Famicom.
             

              Fire Emblem: Thracia 776 takes place between Chapters 5 and 6 of the previous game, Fire Emblem: Seisen no Keifu. Several characters from Fire Emblem: Seisen no Keifu appear, such as Leaf, Fin, and Nanna. It takes place in the Thracian peninsula in southeastern Jugdral.",RPG, Strategy,329,329,820,771,329
Moonlighter,2018-05-29,"Digital Sun Games, 11 bit studios",3.2,"Moonlighter is an Action RPG with rogue-lite elements that demonstrates two sides of the coin – revealing everyday routines of Will, an adventurous shopkeeper that secretly dreams of becoming a hero.",Adventure, Brawler,280,280,2200,1200,309
Pikmin 3,2013-07-13,"Nintendo EAD Software Development Group No.4, Nintendo",4.0,"Explore an alien world like no other in the third edition of Nintendo's strategic adventure series. In Pikmin 3, players take command of three explorers and a legion of adorable Pikmin in a fight for survival. By employing the unique abilities of these tiny Pikmin creatures, players will solve puzzles, battle dangerous predators, and recover food needed to save the explorers’ depleted home planet.",Adventure, Real Time Strategy,388,388,2700,797,385
Five Nights at Freddy's 4,2015-07-23,"Scottgames, Clickteam",2.8,"This time, the terror has followed you home.
             

              In this last chapter of the Five Nights at Freddy's original story, you must once again defend yourself against Freddy Fazbear, Chica, Bonnie, Foxy, and even worse things that lurk in the shadows. Playing as a child whose role is yet unknown, you must safeguard yourself until 6am by watching the doors, as well as warding off unwanted creatures that may venture into your closet or onto the bed behind you.
             

              You have only a flashlight to protect yourself. It will scare away things that may be creeping at the far end of the hallways, but be careful, and listen. If something has crept too close, then shining lights in its eyes will be your end.",Adventure, Indie,199,199,3300,216,111
